--------- beginning of main
01-22 14:14:52.114 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188092, state connected, tech 4G, cid 120762895, pcid 343, rsrp -113, rsrq -20, 
01-22 14:14:53.493 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188093, state connected, tech 4G, cid 120762895, pcid 343, rsrp -109, rsrq -18, 
01-22 14:14:54.503 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188094, state connected, tech 4G, cid 120762895, pcid 343, rsrp -109, rsrq -18, 
01-22 14:14:55.824 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188095, state connected, tech 4G, cid 120762895, pcid 343, rsrp -109, rsrq -17, 
01-22 14:14:56.833 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188096, state connected, tech 4G, cid 120762895, pcid 343, rsrp -109, rsrq -17, 
01-22 14:14:58.425 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188097, state connected, tech 4G, cid 120762895, pcid 343, rsrp -108, rsrq -17, 
01-22 14:14:59.436 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188099, state connected, tech 4G, cid 120762895, pcid 343, rsrp -108, rsrq -17, 
01-22 14:15:00.948 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188100, state connected, tech 4G, cid 120762902, pcid 343, rsrp -105, rsrq -14, 
01-22 14:15:01.967 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188101, state connected, tech 4G, cid 120762902, pcid 343, rsrp -105, rsrq -14, 
01-22 14:15:03.584 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188102, state connected, tech 4G, cid 120762902, pcid 343, rsrp -107, rsrq -16, 
01-22 14:15:04.600 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188104, state connected, tech 4G, cid 120762902, pcid 343, rsrp -107, rsrq -16, 
01-22 14:15:06.126 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188105, state connected, tech 4G, cid 120762902, pcid 343, rsrp -104, rsrq -16, 
01-22 14:15:07.137 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188107, state connected, tech 4G, cid 120762902, pcid 343, rsrp -104, rsrq -16, 
01-22 14:15:08.817 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188108, state connected, tech 4G, cid 120762902, pcid 343, rsrp -104, rsrq -11, 
01-22 14:15:09.826 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188109, state connected, tech 4G, cid 120762902, pcid 343, rsrp -104, rsrq -11, 
01-22 14:15:11.434 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188110, state connected, tech 4G, cid 120762902, pcid 343, rsrp -104, rsrq -12, 
01-22 14:15:12.446 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188112, state connected, tech 4G, cid 120762902, pcid 343, rsrp -104, rsrq -12, 
01-22 14:15:14.069 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188113, state connected, tech 4G, cid 120762902, pcid 343, rsrp -106, rsrq -13, 
01-22 14:15:15.078 18066 18096 D trimble.duo.avtp.radio.RadioService: Signal: time 1548188115, state connected, tech 4G, cid 120762902, pcid 343, rsrp -106, rsrq -13, 
